abs_,airbag_driver,airbag_passenger,airbag_side,alloy_wheels,central_locking,chassis_warranty,cylinder_capacity,fuel,fuel_tank,general_warranty,maintenance,max_power,max_torque,name,no_of_cylinders,no_of_seats,parking_sensors,price,reverse_camera,top_speed,transmission,wheelbase
1,1,1,1,1,1,,875,petrol,45,,,63 kW (85 hp),145,Alfa Romeo MiTo 0.9 TwinAir 85 Progression,2,45,1,17.350,0,172,manual,2511 mm
1,1,1,1,1,1,,875,petrol,45,,,63 kW (85 hp),145,Alfa Romeo MiTo 0.9 TwinAir 85 Distinctive,2,45,1,18.250,0,172,manual,2511 mm
1,1,1,1,1,1,,1248,diesel,45,,,62 kW (85 hp),200,Alfa Romeo MiTo 1.3 JTDm Eco Limited Edition,4,45,1,19.950,0,174,manual,2511 mm
1,1,1,1,0,1,,875,petrol,45,,,63 kW (85 hp),145,Alfa Romeo MiTo 0.9 TwinAir 85 Junior,2,45,0,15.950,0,172,manual,2511 mm
1,1,1,1,1,1,,1248,diesel,45,,,62 kW (85 hp),200,Alfa Romeo MiTo 1.3 JTDm Eco Business Executive,4,45,1,19.950,0,174,manual,2511 mm
1,1,1,1,1,1,,1248,diesel,45,,,62 kW (85 hp),200,Alfa Romeo MiTo 1.3 JTDm Eco Essential,4,45,1,17.215,0,171,manual,2511 mm
1,1,1,1,1,1,,875,petrol,45,,,63 kW (85 hp),145,Alfa Romeo MiTo 0.9 TwinAir 85 Business Executive,2,45,1,18.250,0,172,manual,2511 mm
1,1,1,1,1,1,,1248,diesel,45,,,62 kW (85 hp),200,Alfa Romeo MiTo 1.3 JTDm Eco Distinctive,4,45,0,19.950,0,174,manual,2511 mm
1,1,1,1,1,1,,1248,diesel,45,,,62 kW (85 hp),200,Alfa Romeo MiTo 1.3 JTDm Eco Progression,4,45,1,19.050,0,174,manual,2511 mm
1,1,1,1,1,1,,1368,petrol,45,,,77 kW (105 hp),130,Alfa Romeo MiTo 1.4 MultiAir S&S SBK,4,45,1,22.500,0,187,manual,2511 mm
