abs,brand,compression_ratio,coupe_type,cylinder_bore,doors,fuel_consumption_combined,fuel_tank_volume,fuel_type,generation,kerb_weight,minimum_turning_circle,model,modification,number_of_cylinders,number_of_gears,number_of_valves_per_cylinder,piston_stroke,position_of_cylinders,power,seats,torque,wheelbase
yes,Ford,10,Off-road vehicle,NULL,5,12.3 l/100 km.,88 l,Petrol (Gasoline),Expedition IV (U553),2582 kg.,NULL,Expedition,3.5 EcoBoost V6 (375 Hp) 4x4 Automatic,6,10 SelectShift,4,NULL,V engine,375 hp/5000 rpm.,8,637 Nm/2250 rpm.,3112 mm.
yes,Ford,10,SUV,92.5 mm.,5,13 l/100 km.,70 l,Petrol (Gasoline),Explorer V (facelift 2017),2218 kg.,NULL,Explorer,3.5 EcoBoost V6 (365 Hp) 4WD Automatic,6,6,4,86.7 mm.,V engine,365 hp/5500 rpm.,7,475 Nm/3500 rpm.,2865 mm.
yes,Ford,NULL,Pick-up,NULL,4,11.2 l/100 km.,87 l,Petrol (Gasoline),F-150 XIII SuperCrew (facelift 2018),NULL,NULL,F-150,3.5 V6 (375 Hp) Automatic,6,10,4,NULL,V engine,375 hp/5000 rpm.,5/6,637 Nm/3500 rpm.,3683-3983 mm.
yes,Ford,NULL,Pick-up,NULL,4,13.1 l/100 km.,87 l,Petrol (Gasoline),F-150 XIII SuperCrew (facelift 2018),NULL,NULL,F-150,5.0 V8 (395 Hp) 4x4 Automatic,8,10,4,NULL,V engine,395 hp/5750 rpm.,5/6,542 Nm/4500 rpm.,3683-3983 mm.
yes,Ford,NULL,Pick-up,NULL,4,12.4 l/100 km.,87 l,Petrol (Gasoline),F-150 XIII SuperCrew (facelift 2018),NULL,NULL,F-150,3.5 V6 (375 Hp) 4x4 Automatic,6,10,4,NULL,V engine,375 hp/5000 rpm.,5/6,637 Nm/3500 rpm.,3683-3983 mm.
yes,Ford,NULL,Pick-up,NULL,4,12.4 l/100 km.,87 l,Petrol (Gasoline),F-150 XIII SuperCrew (facelift 2018),NULL,NULL,F-150,5.0 V8 (395 Hp) Automatic,8,10,4,NULL,V engine,395 hp/5750 rpm.,5/6,542 Nm/4500 rpm.,3683-3983 mm.
yes,Ford,10,Off-road vehicle,NULL,5,13.0 l/100 km.,107 l,Petrol (Gasoline),Expedition IV MAX (U553),2628 kg.,NULL,Expedition,3.5 EcoBoost V6 (375 Hp) 4x4 Automatic,6,10 SelectShift,4,NULL,V engine,375 hp/5000 rpm.,8,637 Nm/2250 rpm.,3343 mm.
yes,Ford,10,Off-road vehicle,NULL,5,11.7 l/100 km.,88 l,Petrol (Gasoline),Expedition IV (U553),2469 kg.,NULL,Expedition,3.5 EcoBoost V6 (375 Hp) Automatic,6,10 SelectShift,4,NULL,V engine,375 hp/5000 rpm.,8,637 Nm/2250 rpm.,3112 mm.
yes,Ford,11,Sedan,NULL,4,NULL,50 l,Petrol (Gasoline),"Escort Sedan (China, facelift 2018)",1308 kg.,NULL,Escort,1.5 (122 Hp) Automatic,4,6 SelectShift,NULL,NULL,Inline,122 hp/6500 rpm.,5,150 Nm/4500 rpm.,2687 mm.
NULL,Great Wall,NULL,Off-road vehicle,NULL,5,7.9 l/100 km.,70 l,Petrol (Gasoline),SUV G5,1760 kg.,NULL,SUV,2.2 i (105 Hp),4,5,NULL,NULL,Inline,105 hp,5,190 Nm/2400 rpm.,2615 mm.
yes,Great Wall,NULL,Pick-up,NULL,4,8.4 l/100 km.,70 l,Diesel,Steed 5,NULL,NULL,Steed,2.0 TCI (150 Hp) 4x4,4,NULL,NULL,NULL,Inline,150 hp,5,NULL,3050 mm.
